"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Contrato";"Código Item Compra";"Descrição Item Compra";"Descrição Complementar Item Compra";"Quantidade Item";"Valor Item"
"52121";"Comando do Exército";"160385";"3 BATALHAO DE COMUNICACOES";"12013";"1603640500007201300013";"TELEFONIA - CONVENCIONAL / CELULAR";"SERVIÇO DE ENVIO DE MENSAGEM DE TEXTO (SMS) A PARTIR DA ESTAÇÃO MÓVEL.";"0";"0,00"
"52121";"Comando do Exército";"160385";"3 BATALHAO DE COMUNICACOES";"12013";"1603640500007201300003";"TELEFONIA - CONVENCIONAL / CELULAR";"CHAMADA MÓVEL-MÓVEL ENTRE OPERADORAS DISTINTAS, NA MODALIDADE LOCAL (VC1).";"0";"0,00"
"52121";"Comando do Exército";"160385";"3 BATALHAO DE COMUNICACOES";"12013";"1603640500007201300001";"TELEFONIA - CONVENCIONAL / CELULAR";"CHAMADA MÓVEL-FIXO NA MODALIDADE LOCAL (VC1).";"0";"0,00"
"52121";"Comando do Exército";"160385";"3 BATALHAO DE COMUNICACOES";"12013";"1603640500007201300014";"TELEFONIA - CONVENCIONAL / CELULAR";"ASSINATURA DO SERVIÇO DE DADOS PARA ACESSO À INTERNET COM VELOCIDADE NOMINAL D E 1MBPS E FRANQUIA MÍNIMA DE 2GB PARA DOWNLOAD.";"0";"0,00"
"52121";"Comando do Exército";"160385";"3 BATALHAO DE COMUNICACOES";"12013";"1603640500007201300002";"TELEFONIA - CONVENCIONAL / CELULAR";"CHAMADA MÓVEL-MÓVEL DE MESMA OPERADORA, NA MODALIDADE LOCAL (VC1).";"0";"0,00"
"52121";"Comando do Exército";"160385";"3 BATALHAO DE COMUNICACOES";"12013";"1603640500007201300015";"TELEFONIA - CONVENCIONAL / CELULAR";"SERVIÇO CONTINUADO DE TELEFONIA CELULAR (SMP)E FORNECIMENTO DE 1 (UM) SIMCARD (CHIP) E ASSINATURA PELO PERÍODO DE 12 (DOZE) MESES, (PODENDO SER PRORROGADO A TÉ O LIMITE DA LEI), COM COBERTURA EM TODO TERRITÓRIO NACIONAL.";"0";"0,00"
"52111";"Comando da Aeronáutica";"120020";"NUCLEO DO PARQUE DE MATERIAL DO RECIFE";"12013";"1200200600036201300001";"INFORMATICA - INTERNET";"CONTRATAÇÃO DE SERVIÇO DE ACESSO E CONEXÃO PARA A REDE INTERNET DEDICADO, COM VELOCIDADE DE 5MBPS E 2 IP'S FIXOS REAIS, A SER IMPLEMENTADO ATRAVÉS DA INSTAL AÇÃO DE RÁDIO DIGITAL DE FORMA A DISPONIBILIZAR INTERFACE ETHERNET PARA SER CO NECTADA A REDE INTERNA.";"6";"7500,00"
"52121";"Comando do Exército";"160372";"COMANDO DE ARTILHARIA DIVISIONARIA/3";"12013";"1603720500006201300001";"INSTALACAO E MONTAGEM DE SISTEMAS DE AQUECIMENTO";"INSTALAÇÃO DE SISTEMA CENTRAL DE CALEFAÇÃO POR RADIADORES COM FORNECIMENTO DE COMPONENTES E MÃO DE OBRA PARA SUA INSTALAÇÃO. A PROPOSTA DEVE INCLUIR OS SEGU INTES REQUISISTOS:  - PROJETO DE IMPLANATAÇÃO DA TUBULAÇÃO HIDRÁULICA DA CALEF AÇÃO POR RADIADORES;  - PROJETO DE INSTALAÇÃO DA CASA DE MAQUINÁS DO SISTEMA D E AQUECIMENTO.  - 01 (UMA) GERADORA DE ÁGUA QUENTE A GÁS, BOSCH OU MARCA  COMP ATIVEL/SIMILAR, COM POTÊNCIA ÚTIL DE NO MÍNIMO 30.000 (TRINTA MIL) K CAL\H,  D OTADA DE UMA SERPENTINA INTERNA EM COBRE, PARA AQUECIMENTO DA ÁGUA DE CONSUMO;  DOTADA COM DISPOSITIVOS DE SEGURANÇA COM VISOR DIGITAL DA TEMPERATURA AMBIENT E E TEMPERATURAS OPERACIONAIS A ÁGUA DE CONSUMO E DE CALEFAÇÃO, INDICAÇÃO NUMÉ RICA DE AUTODIAGNÓSTICO POR DEFEITO OPERACIONAL, ALEM DE TERMOSTATO DE AMBIENT E, SENSOR DE VAZAMENTO DE GÁS, TERMOSTATO DE SEGURANÇA POR SUPER AQUECIMENTO E  VÁLVULA DE ALÍVIO DE PRESSÃO DO SISTEMA DE CALEFAÇÃO, APRESENTANDO AS SEGUINT ES CARACTERÍSTICAS:  - IGNIÇÃO ELETRÔNICA;  * TERMOSTATO DO SISTEMA DE AQUECIM ENTO;  * INDICADOR DA FAIXA DE TEMPERATURA DO SISTEMA DE CALEFAÇ";"160";"55600,00"
"52121";"Comando do Exército";"160274";"25 BATALHAO LOGISTICO (ES)";"12013";"1602740500009201300001";"LOCACAO EQUIPAMENTOS DE IMPRESSAO";"LOCAÇÃO DE (02) DUAS MÁQUINAS COPIADORAS, 6.000 CÓPIAS CADA.";"1";"700,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"300";"3210,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"3800";"3686,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"100";"560,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"500";"1420,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"800";"1336,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"1200";"11988,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"100";"426,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"1400";"23786,00"
"52111";"Comando da Aeronáutica";"120013";"CENTRO DE LANCAMENTO DE ALCANTARA";"12013";"1200130500073201200001";"GÁS LIQUEFEITO DE PETRÓLEO - GLP";"GÁS LIQUEFEITO DE PETRÓLEO - GLP, TIPO GLP PROPANO ESPECIAL, PRESSÃO VAPOR 15 KGF/CM2, PONTO MÁXIMO EBULIÇÃO-0,38   C, TEOR MÁXIMO ENXOFRE VOLÁTIL 0,36 G/ M3, CORROSIVIDADE MÁXIMA 1, UMIDADE SECA, COMPOSIÇÃO PROPANO 5 A 90 PER, NORMAS TÉCNICAS MB 327";"0";"0,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"400";"320,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"800";"2320,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"350";"2061,50"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"800";"7784,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"500";"5740,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"200";"2360,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"1400";"6860,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"800";"4944,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"90";"1750,50"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"950";"8075,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"800";"1496,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"100";"169,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"900";"4050,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"100";"1147,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"250";"2745,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"1600";"6864,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"80";"2366,40"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"200";"2278,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"300";"1077,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"100";"899,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"300";"912,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"400";"5596,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"400";"792,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"3200";"6048,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"1200";"2148,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"800";"3984,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"300";"1167,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"210";"354,90"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"400";"1132,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"800";"4944,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"250";"4992,50"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"210";"344,40"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"600";"1686,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"800";"3976,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"600";"2754,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"300";"810,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"150";"837,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"300";"10224,00"
"52131";"Comando da Marinha";"784320";"CAPITANIA DOS PORTOS DO MARANHAO";"12013";"0";"Não se aplica";"Não se aplica";"500";"3445,00"
