"N˙mero Contrato";"CÛdigo ”rg„o Superior";"Nome ”rg„o Superior";"CÛdigo ”rg„o";"Nome ”rg„o";"CÛdigo UG";"Nome UG";"N˙mero Apostilamento";"DescriÁ„o Apostilamento";"Valor Apostilamento";"Data de inclus„o";"SituaÁ„o Apostilamento"
"32014";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193108";"IBAMA - GER NCIA EXECUTIVA EM GOI¡S";"00000000000000001";"REPACTUA«√O AO CONTRATO N∫ 03/2014, E COM AMPARO NO ART 65 DA LEI N∫ 8.666/93. O PERÕODO A SER CONSIDERADO SER¡ DE 01 DE JANEIRO DE 2015 A 28 DE FEVE                                                             REIRO DE 2016.";"129438,40";"09/04/2015";"Encerrado"
"12014";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193183";"IBAMA - GER NCIA EXECUTIVA I - TOCANTINS";"00000000000000001";"REPACTUAÁ„O EM RAZ„O DE ALTERAÁıES NA CONVENÁ„O COLETIVA DE TRABALHO DA CAT EGORIA PROFISSIONAL ENVOLVIDA NA PRESTAÁ„O DOS SERVIÁOS, CUJAS DISPOSI«’ES                               MAJORARAM COMPONENTES DE CUSTOS DO CONTRATO.";"12445,20";"29/09/2015";"Encerrado"
"32014";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130032";"LABORAT”RIO FEDERAL DE DEFESA AGROPECU¡RIA/GO";"000000000001/2017";"REAJUSTE DE VALORES REFERENTE AO 2∫ TERMO ADITIVO.";"4032,00";"26/01/2017";"Encerrado"
"32014";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130032";"LABORAT”RIO FEDERAL DE DEFESA AGROPECU¡RIA/GO";"000000000002/2017";"reajuste referente ao 3∫ termo aditivo.";"2112,00";"16/03/2017";"Encerrado"
"12014";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130094";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"00000000000022016";"Reajuste convenÁ„o coletiva de trabalho 2016/2017";"108067,00";"07/06/2016";"Encerrado"
"12014";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130094";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"000000000001/2015";"REAJUSTE SALARIAL CONCENÁ„O COLETIVO 2015.";"159758,20";"02/10/2015";"Encerrado"
"12014";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130094";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"00000000000032017";"Reajuste salarial da categoria 2017/2018.";"73368,60";"29/08/2017";"Encerrado"
"242014";"49000";"MINISTERIO DO DESENVOLVIMENTO AGRARIO";"22201";"INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA";"373072";"INCRA-SUPERINTENDENCIA REGIONAL/SR-11/RS";"000000000001/2016";"repactuaÁ„o de preÁo do contrato 024/2014 - vigencia a partir de jan/2016.";"29571,00";"12/05/2016";"Encerrado"
"242014";"49000";"MINISTERIO DO DESENVOLVIMENTO AGRARIO";"22201";"INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA";"373072";"INCRA-SUPERINTENDENCIA REGIONAL/SR-11/RS";"00000000000000001";"APOSTILAMENTO DE VALOR";"41752,50";"18/06/2015";"Encerrado"
"182013";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVA«√O";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVA«√O";"240101";"MCT-COORD. GERAL DE RECURSOS LOGÕSTICOS/DF";"00000000000012016";"REAJUSTE COM BASE NO IGPM COM AMPARO NO .8∫, DO ARTIGO 65, DA LEI N∫ 8.666/                                                                        93.";"3453,80";"18/07/2016";"Encerrado"
"232013";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVA«√O";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVA«√O";"240128";"LABORATORIO NACIONAL DE ASTROFISICA - MG";"00000000000000001";"AlteraÁ„o de preÁos em decorrÍncia de ConvenÁ„o Coletiva de Trabalho";"7873,30";"27/08/2014";"Encerrado"
