"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Apostilamento";"Descrição Apostilamento";"Valor Apostilamento";"Data de inclusão";"Situação Apostilamento"
"12015";"20000";"PRESIDENCIA DA REPUBLICA";"20214";"AGENCIA NACIONAL DE AVIAÇÃO CIVIL - ANAC";"113216";"UNIDADE REGIONAL DO RIO DE JANEIRO - ANAC";"00000000000000001";"REAJUSTE DE PREÇOS DO CONTRATO 1/ANAC/2015 A PARTIR DE 10/02/2017, COM BASE NA VARIAÇÃO DE PREÇOS ACUMULADA NO PERÍODO COMPREENDIDO ENTRE 10/02/2016 E         10/02/2017, APURADO EM 6,75% CONFORME NOTA TÉCNICA 271 SEI 1223485";"2144,10";"06/11/2017";"Encerrado"
"12015";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193106";"MMA-IBAMA-SUPERINTENDENCIA ESTADUAL/DF";"000000000001º2017";"Repactuação do contrato.";"6543,10";"27/09/2017";"Encerrado"
"12015";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193106";"MMA-IBAMA-SUPERINTENDENCIA ESTADUAL/DF";"000000000001/2016";"Repactuar o contrato.";"48046,00";"28/01/2016";"Encerrado"
"12015";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193106";"MMA-IBAMA-SUPERINTENDENCIA ESTADUAL/DF";"000000000002/2016";"Repactuação do contrato.";"87469,90";"28/10/2016";"Encerrado"
"22015";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193108";"IBAMA - GERÊNCIA EXECUTIVA EM GOIÁS";"00000000000012016";"Termo de apostilamento para concessão da repactuação para o contrato nº 02/2015, referente ao serviço de recepcão e copeiragem. A presente repactuação foi concedida a partir do dia 01/03/2016, conforme CCT 2016/2018. A presente repactuação foi autorizada conforme nota técnica nº 643/2016/COOR/CGPLO/                                                              DIPLAN/IBAMA.";"14976,90";"20/12/2016";"Encerrado"
"22015";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193108";"IBAMA - GERÊNCIA EXECUTIVA EM GOIÁS";"000000000002/2015";"CONCESSÃO DE EQUILÍBRIO ECONÔMICO-FINANCEIRO COM FULCRO NO ART. 41-A DA IN                                  Nº 02/2008 E ART. 65 DA LEI Nº 8666/1993.";"12565,90";"18/06/2015";"Encerrado"
"22015";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193108";"IBAMA - GERÊNCIA EXECUTIVA EM GOIÁS";"000000000001/2017";"A CONVENçãO COLETIVA DE TRABALHO 2017/2019, REGISTRADA NO MTE SOB O NúMEROGO000277/2017, ESTABELECEU O DISPêNCIDO DE 8,88% SOBRE O PISO SALARIAL ANTERIOR A PARTIR DE 1º DE MARçO DE 2017, POR ESTA RAZãO FOI CONCEDIDO O REEQUI                                                                    LíBRIO.";"14006,60";"15/12/2017";"Encerrado"
"22015";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193113";"MMA-IBAMA-SUPERINTENDENCIA ESTADUAL/MT";"000000000001/2017";"Reajuste no valor do contrato, em face de repactuação, por foça de acordo d                                                      e convenção coletiva.";"162107,50";"23/01/2017";"Encerrado"
"12015";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193129";"IBAMA - SUPERINTENDENCIA ESTADUAL/SP";"00000000000012016";"Execução de serviços conforme laudo da empresa a Aerotex (processo 02027.000570/2015-11 - contrato nº 07/2015) visando a obtenção do AVCB e AVS para a                                            edificação da Sede da Supes/SP.";"114000,00";"01/10/2016";"Encerrado"
"12015";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193129";"IBAMA - SUPERINTENDENCIA ESTADUAL/SP";"00000000000000003";"CERTIFICAÇÃO ORÇAMENTÁRIA NT N  177/2016 DE 15MAR2016, RETROATIVA A FIM DEATENDER DESPESAS EMERGENCIAIS REFERENTES AO CONTRATO DE MANUTENÇÃO PREDIAL.";"22015,60";"01/11/2015";"Encerrado"
"12015";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193129";"IBAMA - SUPERINTENDENCIA ESTADUAL/SP";"00000000000000001";"ACRéSCIMO DO VALOR DO CONTRATO DE ACORDO COM O ART 65 DA LEI 8666/93 E NOTA                                                         TÉCNICA 853/2015.3";"16799,90";"01/01/2016";"Encerrado"
"12015";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193129";"IBAMA - SUPERINTENDENCIA ESTADUAL/SP";"00000000000000002";"DEVIDO INCLUSãO DE MANUTENçãO DOS ELEVADORES NO PREDIO SEDE DA SUPES/SP.";"9015,80";"01/12/2017";"Encerrado"
"12015";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193183";"IBAMA - GERÊNCIA EXECUTIVA I - TOCANTINS";"00000000000000001";"REPACTUAçãO CONFORME CONVENçãO COLETIVA 2015/2016 DA CATEGORIA PROFISSIONAL ENVOLVIDA NA PRESTAçãO DOS SERVIçOS, CUJAS DISPOSIçõES MAJORARAM COMPONENT                                                  ES DE CUSTOS DO CONTRATO.";"15774,80";"22/09/2015";"Encerrado"
