"N˙mero Contrato";"CÛdigo ”rg„o Superior";"Nome ”rg„o Superior";"CÛdigo ”rg„o";"Nome ”rg„o";"CÛdigo UG";"Nome UG";"N˙mero Termo Aditivo";"Data PublicaÁ„o";"Objeto"
"10942016";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"926524";"AMAZONAS GERA«√O E TRANSMISS√O DE ENERGIA S.A";"12017";"30/11/2017";"OBJETO: ServiÁos_de transporte rodoviario e movimentaÁao de cargas pesadas"
"11482016";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"926524";"AMAZONAS GERA«√O E TRANSMISS√O DE ENERGIA S.A";"12016";"10/01/2018";"OBJETO: PrestaÁao de serviÁos e venda de produtos"
"12182016";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"926524";"AMAZONAS GERA«√O E TRANSMISS√O DE ENERGIA S.A";"22019";"12/04/2019";"OBJETO: LocaÁao de grupos geradores"
"12182016";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"926524";"AMAZONAS GERA«√O E TRANSMISS√O DE ENERGIA S.A";"42019";"06/08/2019";"OBJETO: LocaÁao de grupo geradores"
"12192016";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"926524";"AMAZONAS GERA«√O E TRANSMISS√O DE ENERGIA S.A";"42019";"06/08/2019";"OBJETO: LocaÁao de grupos geradores"
"12752016";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"925145";"REGIONAL DE TRANSMISS√O DO PAR¡";"12017";"07/03/2017";"OBJETO: ProrrogaÁ„o do prazo de entrega para atÈ o dia 20/02/2017."
"162016";"36000";"MINISTERIO DA SAUDE";"36000";"MINISTERIO DA SAUDE";"925305";"EMPRESA BRAS. DE HEMOD. E BIOTETECNOLOGIA";"12017";"14/12/2017";"OBJETO: Prorrogar a vigÍncia contratual por 12 (doze) meses."
"172016";"36000";"MINISTERIO DA SAUDE";"36000";"MINISTERIO DA SAUDE";"925305";"EMPRESA BRAS. DE HEMOD. E BIOTETECNOLOGIA";"12017";"30/06/2017";"OBJETO: Repactuar o contrato."
"172016";"36000";"MINISTERIO DA SAUDE";"36000";"MINISTERIO DA SAUDE";"925305";"EMPRESA BRAS. DE HEMOD. E BIOTETECNOLOGIA";"22017";"14/12/2017";"OBJETO: Prorrogar a vigÍncia contratual por 12 (doze) meses."
"1752016";"41000";"MINISTERIO DAS COMUNICACOES";"41000";"MINISTERIO DAS COMUNICACOES";"925150";"TELECOMUNICA«’ES BRASILEIRAS S.A.";"12017";"27/12/2017";"OBJETO: ProrrogaÁ„o pelo perÌodo de 12 meses, a contar da data de 30 de novembro de 2017, bem como a alteraÁ„o quantitativa deste, mediante o acrÈscimo ao valor do contrato original no percentual de 21,50%"
"1782016";"41000";"MINISTERIO DAS COMUNICACOES";"41000";"MINISTERIO DAS COMUNICACOES";"925150";"TELECOMUNICA«’ES BRASILEIRAS S.A.";"12017";"20/04/2017";"OBJETO: Em raz„o do ofÌcio n∫ 01582/2017-sct/aneel, de 22 de fevereiro 2017, o caput e o par·grafo 2Å da cl·usula 3Å,passaram vigorar com nova redaÁ„o."
"1842016";"41000";"MINISTERIO DAS COMUNICACOES";"41000";"MINISTERIO DAS COMUNICACOES";"925150";"TELECOMUNICA«’ES BRASILEIRAS S.A.";"22018";"04/01/2018";"OBJETO: ProrrogaÁ„o do item de suporte tÈcnico do contrato administrativo 184/2016 pelo perÌodo de 12 meses, a contar da data de 28/12/2017."
"302016";"20000";"PRESIDENCIA DA REPUBLICA";"20213";"EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTU¡RIA";"125241";"AEROPORTO DE CRUZEIRO DO SUL/SBCZ";"12016";"02/10/2017";"Objeto: AlteraÁ„o contratual ap partir de 01/10/2017"
"532016";"20000";"PRESIDENCIA DA REPUBLICA";"20213";"EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTU¡RIA";"125080";"AEROPORTO DE PORTO ALEGRE/SBPA";"12016";"20/03/2017";"Objeto: T.a. 1  - acrÈscimo dos serviÁos referentes ao chiller 2, item 2 da proposta comercial, em 63,5%."
"861912016";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"925145";"REGIONAL DE TRANSMISS√O DO PAR¡";"12017";"05/01/2018";"OBJETO: AlteraÁ„o do prazo e condiÁıes de entrega dos materiais."
"863522016";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"925145";"REGIONAL DE TRANSMISS√O DO PAR¡";"12017";"23/02/2018";"OBJETO: ProrrogaÁ„o do prazo de execuÁ„o para mais um periodo de 12 meses a partir de 01.12.2017."
"863612016";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"925145";"REGIONAL DE TRANSMISS√O DO PAR¡";"12017";"28/06/2017";"OBJETO: AlteraÁ„o do prazo de execuÁ„o dos serviÁos para 210 (duzentos e dez) dias, contados apartir da data da assinatura do Contrato, pela Contratada."
"863612016";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"925145";"REGIONAL DE TRANSMISS√O DO PAR¡";"22017";"23/10/2017";"OBJETO: AlteraÁ„o do prazo de execuÁ„o do serviÁo objeto da contrataÁ„o."
"864412016";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"925148";"SUPERINTEND NCIA DE GERA«√O HIDR¡ULICA - OGH";"12016";"20/12/2016";"OBJETO: Constitui objeto deste Termo Aditivo  aalteraÁ„o das Cl·usulas do valor da contrataÁ„oe do recurso orÁament·rio"
"864782016";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"925148";"SUPERINTEND NCIA DE GERA«√O HIDR¡ULICA - OGH";"12017";"21/06/2017";"OBJETO: AlteraÁ„o das cl·usulas sexta e dÈcima primeira, prorrogando prazo de execuÁ„o e aditando valor, respectivamente."
"865232016";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"925143";"REGIONAL DE TRANSMISS√O DO MARANH√O";"12017";"13/04/2017";"OBJETO: AlteraÁ„o de ExecuÁ„o vigÍncia e valor"
"865252016";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"925143";"REGIONAL DE TRANSMISS√O DO MARANH√O";"12017";"17/02/2017";"OBJETO: Corte seletivo faixas LT LDLT"
