"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Termo Aditivo";"Data Publicação";"Objeto"
"232021";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012021";"17/12/2021";"Objetivo: ACRÉSCIMO DE SERVIÇOS"
"242021";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012022";"29/06/2022";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA"
"252021";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012022";"05/07/2022";"Objetivo: PRORROAÇÃO DA VIGÊNCIA CONTRATUAL"
"72021";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000012021";"02/09/2021";"Objetivo: PRORROGAR POR 12 (DOZE) MESES O PRAZO DE VIGÊNCIA CONTRATUAL."
"72021";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000022022";"08/08/2022";"Objetivo: PRORROGAR A VIGÊNCIA CONTRATUAL POR 12 (DOZE) MESES"
"82021";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000012021";"30/08/2021";"Objetivo: SUPRIMIR O CON TRATO EM 11,85%, EXCLUINDO 2 POSTOS DE RECEPCIONISTA NA CJU/SE E PF/SE; ACRESCER EM 12,62%, COM A INCLUSÃO DE 2 POSTOS DE AUXILIAR ADMINISTRATIVO NA CJU/SE E PF/SE; ALTERAR O VALOR DO CONTRATO EM 5,83%, COM A MUDANÇA DO REGIME DA PORTARIA PARA 12X36 NA PU/SE."
"82021";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000022022";"24/02/2022";"Objetivo: SUPRIMIR O VALOR DO CONTRATO EM 11,76% (ONZE VÍRGULA SETENTA E SEIS POR CENTO), COM A EXCLUSÃO DE 02 (DOIS) POSTOS DE PORTARIA NA PU/SE."
"82021";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000032022";"25/08/2022";"Objetivo: RESCINDIR UNILATERALMENTE O CONTRATO, COM BASE NO ART. 78, INCISO XII DA LEI 8666/93 E NA CLÁUSULA DÉCIMA PRIMEIRA."
"62021";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"000012022";"10/02/2022";"Objetivo: ACRESCER AO CONTRATO ORIGINAL 1 (UMA) UNIDADE DE CENTRAL TELEFÔNICA DIGITAL DO TIPO I PARA ATENDER A PSF/PEL E A PSU/PEL, TOTALIZANDO 3,27% (TRÊS VÍRGULA VINTE E SETE POR CENTO)"
"62021";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"000022022";"01/06/2022";"Objetivo: PRORROGAR A VIGÊNCIA DO CONTRATO ORIGINAL POR MAIS 12 (DOZE) MESES"
